고유번호,언어,상호명,콘텐츠URL,주소,Latitude,Longitude,신주소,전화번호,웹사이트,운영시간,교통정보,홈페이지 언어,대표메뉴
47731,ko,서울래빗,https://korean.visitseoul.net/restaurants/2024-SeoulRabbit/KOPtsyhlf?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPtsyhlf, 서울 종로구 체부동 37-1 ,37.5778073,126.9717504,03041 서울 종로구 자하문로 19-1 (체부동) 1층 ,010-2656-1890,https://www.instagram.com/seoul.x.rabbit,10:00 - 18:00,3호선 경복궁역 2번 출구에서 약 173m (도보 3분),,
45792,ko,업스탠딩 Upstanding coffee,https://korean.visitseoul.net/restaurants/2024-Upstanding-coffee/KOPxdu122?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPxdu122, 서울 용산구 용산동2가 1-90 ,37.5449265,126.9849717,04337 서울 용산구 신흥로 99-11 (용산동2가) ,0502-1917-8727,https://www.instagram.com/upstanding_coffee/?hl=ko,월-일 10:00-20:00 (라스트오더 19:30) ,"4호선 숙대입구역 5번 출구 정류장에서 용산 02 버스 탑승, 해방촌오거리 정류장에서 하차 후 도보 2분",,
1095,ko,개미집,https://korean.visitseoul.net/restaurants/개미집/KOP001095?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP001095,135-888 서울 강남구 신사동 528-4 ,37.5229663,127.0209482,06028 서울 강남구 압구정로 110 (화인빌딩) ,02-541-5955,http://gaemizip.modoo.at/,16:30~24:00,3호선 신사역 8번 출구 ,,"매운갈낙찜, 모짜렐라김치전, 홍어삼합, 제철사시미"
5780,ko,콰이19,https://korean.visitseoul.net/restaurants/콰이19/KOP005776?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP005776, 서울 강남구 신사동 564-12 524-1,37.5209387,127.0272846,06032 서울 강남구 도산대로25길 16 (신사동) 1층,02-540-4155,https://www.instagram.com/kuai_china_flavor/?igshid=llol1ut93c8z,평일 11:30 ~ 15:00 / 17:30 ~ 22:00 토요일 11:30 ~ 16:00,3호선 압구정역 4번 출구에서 약 565m (도보 8분) ,,"등갈비 깐풍소스, 매운 고추 닭날개, 오향장육, 중국식냉면"
47549,ko,하우스오브바이닐 연희점,https://korean.visitseoul.net/restaurants/2024-houseofvinyl/KOPx6dde3?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPx6dde3, 서울 서대문구 연희동 190-17 ,37.5667961,126.9286826,03707 서울 서대문구 연희맛로 17-43 (연희동) ,0507-1459-9557,,11:00~22:00,"2호선, 공항철도, 경의중앙선 홍대입구역 3번 출구에서 약 1.1km (도보 19분)",,
46950,ko,진미식당,https://korean.visitseoul.net/restaurants/2024-jinmi/KOP9uq5ep?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP9uq5ep, 서울 마포구 공덕동 105-127 ,37.5505895,126.9557918,04207 서울 마포구 마포대로 186-6  ,02-3211-4468,https://thejinmi.modoo.at/ ,월요일 ~ 토요일 12:00 ~ 20:00 (브레이크타임 15:30~17:00),5호선 애오개역 4번 출구에서 약 282m (도보 4분) ,,
5515,ko,두꺼비정육점식당,https://korean.visitseoul.net/restaurants/두꺼비정육점식당/KOP005515?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP005515,135-841 서울 강남구 대치동 906-21 ,37.5015119,127.0530636,06197 서울 강남구 역삼로 421 ,02-445-8742,,"평일 11:00~22:00, 주말 11:00~21:00","2호선, 수인분당선 선릉역 1번 출구에서 약 569m (도보 8분)",,"설렁탕, 불고기뚝배기, 육회비빔밥, 불고기전골"
30871,ko, 발우공양,https://korean.visitseoul.net/restaurants/발우-공양/KOP030871?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP030871,110-170 서울 종로구 견지동 71 ,37.5738873,126.9831949,03145 서울 종로구 우정국로 56 (견지동) ,02-733-2081,http://balwoo.or.kr/,점심 1부 ? 11:30 ~ 13:20 점심 2부 ? 13:30 ~ 14:50 저녁시간 ? 18:00 ~ 21:00 (주문마감 19:40),3호선 안국역 6번 출구에서 약 273m (도보 4분) ,"한국어,영어","선식, 원식, 마음식"
6948,ko,산골막국수,https://korean.visitseoul.net/restaurants/산골면옥/KOP006945?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006945,110-826 서울 종로구 숭인동 278 ,37.5728996,127.0169835,03114 서울 종로구 종로56길 5-7 ,02-749-6033,,11:30 ~ 21:00,"1, 6호선 동묘앞역 3번 출구   ",,"막국수, 만둣국, 만두, 감자전, 모둠전, 파전, 막국수무침, 막국수쟁반, 닭무침, 닭볶음탕"
46871,ko,종로 은행나무집,https://korean.visitseoul.net/restaurants/JongnoEunhaengnamujip/KOPtlgzyi?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPtlgzyi, 서울 종로구 관철동 33-3 2~3층,37.5686981,126.9880727,"03191 서울 종로구 삼일대로 382 (관철동, 신영빌딩) 2~3층",02-2277-2266,,"월-금 11:00~21:30 토-일 11:00~21:00,  (15:00~16:30 브레이크타임)",2?3호선 을지로3가역 1번 출구에서 425m,,"생 소갈비, 양념 소갈비, 왕갈비탕, 한우 육회비빔밥 (2인 이상 주문 가능)"
